dataset,llm,n_train_shot,seed,acc,avg,std
sst2,./llm/gpt2-xl,4,1,0.80078125,0.71,0.11
sst2,./llm/gpt2-xl,4,2,0.578125,,
sst2,./llm/gpt2-xl,4,3,0.7890625,,
sst2,./llm/gpt2-xl,4,4,0.7890625,,
sst2,./llm/gpt2-xl,4,5,0.60546875,,
sst2,./llm/gpt2-xl,16,1,0.765625,0.74,0.04
sst2,./llm/gpt2-xl,16,2,0.75390625,,
sst2,./llm/gpt2-xl,16,3,0.7578125,,
sst2,./llm/gpt2-xl,16,4,0.66796875,,
sst2,./llm/gpt2-xl,16,5,0.76953125,,
sst2,./llm/gpt2-xl,64,1,0.71484375,0.76,0.03
sst2,./llm/gpt2-xl,64,2,0.765625,,
sst2,./llm/gpt2-xl,64,3,0.76953125,,
sst2,./llm/gpt2-xl,64,4,0.78515625,,
sst2,./llm/gpt2-xl,64,5,0.765625,,
sst2,./llm/gpt2-xl,256,1,0.7109375,0.75,0.03
sst2,./llm/gpt2-xl,256,2,0.7578125,,
sst2,./llm/gpt2-xl,256,3,0.78125,,
sst2,./llm/gpt2-xl,256,4,0.75,,
sst2,./llm/gpt2-xl,256,5,0.7734375,,
sst2,./llm/gpt2-xl,1024,1,0.78125,0.76,0.02
sst2,./llm/gpt2-xl,1024,2,0.7890625,,
sst2,./llm/gpt2-xl,1024,3,0.76953125,,
sst2,./llm/gpt2-xl,1024,4,0.73046875,,
sst2,./llm/gpt2-xl,1024,5,0.74609375,,
