dataset,llm,n_train_shot,seed,acc,method
sst2,./llm/gpt2-xl,4,1,0.80078125,DecisionTree
sst2,./llm/gpt2-xl,4,1,0.66796875,KNN
sst2,./llm/gpt2-xl,4,1,0.80078125,AdaBoost
sst2,./llm/gpt2-xl,4,2,0.578125,DecisionTree
sst2,./llm/gpt2-xl,4,2,0.625,KNN
sst2,./llm/gpt2-xl,4,2,0.578125,AdaBoost
sst2,./llm/gpt2-xl,4,3,0.7890625,DecisionTree
sst2,./llm/gpt2-xl,4,3,0.78125,KNN
sst2,./llm/gpt2-xl,4,3,0.7734375,AdaBoost
sst2,./llm/gpt2-xl,4,4,0.7890625,DecisionTree
sst2,./llm/gpt2-xl,4,4,0.6484375,KNN
sst2,./llm/gpt2-xl,4,4,0.7890625,AdaBoost
sst2,./llm/gpt2-xl,4,5,0.60546875,DecisionTree
sst2,./llm/gpt2-xl,4,5,0.640625,KNN
sst2,./llm/gpt2-xl,4,5,0.60546875,AdaBoost
sst2,./llm/gpt2-xl,16,1,0.765625,DecisionTree
sst2,./llm/gpt2-xl,16,1,0.734375,KNN
sst2,./llm/gpt2-xl,16,1,0.765625,AdaBoost
sst2,./llm/gpt2-xl,16,2,0.75390625,DecisionTree
sst2,./llm/gpt2-xl,16,2,0.77734375,KNN
sst2,./llm/gpt2-xl,16,2,0.75390625,AdaBoost
sst2,./llm/gpt2-xl,16,3,0.7578125,DecisionTree
sst2,./llm/gpt2-xl,16,3,0.73828125,KNN
sst2,./llm/gpt2-xl,16,3,0.7421875,AdaBoost
sst2,./llm/gpt2-xl,16,4,0.66796875,DecisionTree
sst2,./llm/gpt2-xl,16,4,0.703125,KNN
sst2,./llm/gpt2-xl,16,4,0.77734375,AdaBoost
sst2,./llm/gpt2-xl,16,5,0.76953125,DecisionTree
sst2,./llm/gpt2-xl,16,5,0.8046875,KNN
sst2,./llm/gpt2-xl,16,5,0.80078125,AdaBoost
sst2,./llm/gpt2-xl,64,1,0.71484375,DecisionTree
sst2,./llm/gpt2-xl,64,1,0.76171875,KNN
sst2,./llm/gpt2-xl,64,1,0.75390625,AdaBoost
sst2,./llm/gpt2-xl,64,2,0.765625,DecisionTree
sst2,./llm/gpt2-xl,64,2,0.7890625,KNN
sst2,./llm/gpt2-xl,64,2,0.74609375,AdaBoost
sst2,./llm/gpt2-xl,64,3,0.76953125,DecisionTree
sst2,./llm/gpt2-xl,64,3,0.75,KNN
sst2,./llm/gpt2-xl,64,3,0.76171875,AdaBoost
sst2,./llm/gpt2-xl,64,4,0.78515625,DecisionTree
sst2,./llm/gpt2-xl,64,4,0.80859375,KNN
sst2,./llm/gpt2-xl,64,4,0.796875,AdaBoost
sst2,./llm/gpt2-xl,64,5,0.765625,DecisionTree
sst2,./llm/gpt2-xl,64,5,0.796875,KNN
sst2,./llm/gpt2-xl,64,5,0.7734375,AdaBoost
sst2,./llm/gpt2-xl,256,1,0.7109375,DecisionTree
sst2,./llm/gpt2-xl,256,1,0.7734375,KNN
sst2,./llm/gpt2-xl,256,1,0.80859375,AdaBoost
sst2,./llm/gpt2-xl,256,2,0.7578125,DecisionTree
sst2,./llm/gpt2-xl,256,2,0.80859375,KNN
sst2,./llm/gpt2-xl,256,2,0.80078125,AdaBoost
sst2,./llm/gpt2-xl,256,3,0.78125,DecisionTree
sst2,./llm/gpt2-xl,256,3,0.83203125,KNN
sst2,./llm/gpt2-xl,256,3,0.78125,AdaBoost
sst2,./llm/gpt2-xl,256,4,0.75,DecisionTree
sst2,./llm/gpt2-xl,256,4,0.77734375,KNN
sst2,./llm/gpt2-xl,256,4,0.79296875,AdaBoost
sst2,./llm/gpt2-xl,256,5,0.7734375,DecisionTree
sst2,./llm/gpt2-xl,256,5,0.75390625,KNN
sst2,./llm/gpt2-xl,256,5,0.80078125,AdaBoost
sst2,./llm/gpt2-xl,1024,1,0.78125,DecisionTree
sst2,./llm/gpt2-xl,1024,1,0.79296875,KNN
sst2,./llm/gpt2-xl,1024,1,0.80859375,AdaBoost
sst2,./llm/gpt2-xl,1024,2,0.7890625,DecisionTree
sst2,./llm/gpt2-xl,1024,2,0.796875,KNN
sst2,./llm/gpt2-xl,1024,2,0.8046875,AdaBoost
sst2,./llm/gpt2-xl,1024,3,0.76953125,DecisionTree
sst2,./llm/gpt2-xl,1024,3,0.828125,KNN
sst2,./llm/gpt2-xl,1024,3,0.8203125,AdaBoost
sst2,./llm/gpt2-xl,1024,4,0.73046875,DecisionTree
sst2,./llm/gpt2-xl,1024,4,0.8046875,KNN
sst2,./llm/gpt2-xl,1024,4,0.8125,AdaBoost
sst2,./llm/gpt2-xl,1024,5,0.74609375,DecisionTree
sst2,./llm/gpt2-xl,1024,5,0.8046875,KNN
sst2,./llm/gpt2-xl,1024,5,0.7890625,AdaBoost
